[ 00:22:05.815 -->  00:22:06.304] IG SPEAKER_01
[ 00:22:07.013 -->  00:22:08.667] IH SPEAKER_01
[ 00:22:08.835 -->  00:22:08.852] II SPEAKER_02
[ 00:22:08.852 -->  00:22:08.869] IJ SPEAKER_01
[ 00:22:08.869 -->  00:22:08.886] IK SPEAKER_02
[ 00:22:08.886 -->  00:22:08.970] IL SPEAKER_01
[ 00:22:08.970 -->  00:22:21.357] IM SPEAKER_02
[ 00:22:21.458 -->  00:22:23.027] IN SPEAKER_01
[ 00:22:23.601 -->  00:22:29.085] IO SPEAKER_01
[ 00:22:29.457 -->  00:22:31.330] IP SPEAKER_01
[ 00:22:31.718 -->  00:22:35.414] IQ SPEAKER_01
[ 00:22:35.835 -->  00:22:37.017] IR SPEAKER_01
[ 00:22:37.185 -->  00:22:38.147] IS SPEAKER_01
[ 00:22:38.316 -->  00:22:40.425] IT SPEAKER_01
[ 00:22:41.100 -->  00:22:44.138] IU SPEAKER_01
[ 00:22:44.729 -->  00:22:51.006] IV SPEAKER_01
[ 00:22:51.495 -->  00:22:52.879] IW SPEAKER_01
[ 00:22:52.947 -->  00:22:55.799] IX SPEAKER_01
[ 00:22:56.237 -->  00:22:58.313] IY SPEAKER_01
[ 00:22:58.836 -->  00:23:04.877] IZ SPEAKER_01
[ 00:23:05.400 -->  00:23:08.337] JA SPEAKER_01
[ 00:23:08.624 -->  00:23:11.003] JB SPEAKER_01
[ 00:23:11.745 -->  00:23:15.509] JC SPEAKER_01
[ 00:23:15.914 -->  00:23:18.681] JD SPEAKER_01
[ 00:23:18.698 -->  00:23:22.529] JE SPEAKER_01
[ 00:23:22.832 -->  00:23:39.640] JF SPEAKER_02
[ 00:23:40.180 -->  00:23:44.466] JG SPEAKER_02
[ 00:23:45.732 -->  00:23:55.604] JH SPEAKER_02
[ 00:23:55.907 -->  00:23:59.097] JI SPEAKER_01
[ 00:23:59.502 -->  00:24:00.278] JJ SPEAKER_01
[ 00:24:00.885 -->  00:24:03.822] JK SPEAKER_01
[ 00:24:04.632 -->  00:24:08.277] JL SPEAKER_01
[ 00:24:08.817 -->  00:24:13.491] JM SPEAKER_01
[ 00:24:13.879 -->  00:24:15.752] JN SPEAKER_01
[ 00:24:16.174 -->  00:24:18.385] JO SPEAKER_01
[ 00:24:18.739 -->  00:24:21.794] JP SPEAKER_01
[ 00:24:22.553 -->  00:24:27.582] JQ SPEAKER_01
[ 00:24:27.801 -->  00:24:28.982] JR SPEAKER_01
