[ 00:21:05.065 -->  00:21:23.155] FW SPEAKER_02
[ 00:21:23.492 -->  00:21:25.045] FX SPEAKER_02
[ 00:21:25.247 -->  00:21:32.369] FY SPEAKER_02
[ 00:21:32.909 -->  00:21:42.460] FZ SPEAKER_02
[ 00:21:43.152 -->  00:21:44.384] GA SPEAKER_02
[ 00:21:44.603 -->  00:21:46.746] GB SPEAKER_02
[ 00:21:47.370 -->  00:21:49.733] GC SPEAKER_02
[ 00:21:49.851 -->  00:21:51.572] GD SPEAKER_02
[ 00:21:52.045 -->  00:21:54.154] GE SPEAKER_02
[ 00:21:54.762 -->  00:21:56.382] GF SPEAKER_02
[ 00:21:56.550 -->  00:22:04.482] GG SPEAKER_02
[ 00:22:04.684 -->  00:22:16.328] GH SPEAKER_02
[ 00:22:16.935 -->  00:22:18.387] GI SPEAKER_02
[ 00:22:18.690 -->  00:22:20.496] GJ SPEAKER_02
[ 00:22:20.732 -->  00:22:25.322] GK SPEAKER_02
[ 00:22:25.997 -->  00:22:27.246] GL SPEAKER_02
[ 00:22:27.752 -->  00:22:30.149] GM SPEAKER_02
[ 00:22:30.284 -->  00:22:33.270] GN SPEAKER_02
[ 00:22:33.642 -->  00:22:43.699] GO SPEAKER_02
[ 00:22:44.205 -->  00:22:48.964] GP SPEAKER_02
[ 00:22:49.943 -->  00:22:55.495] GQ SPEAKER_02
[ 00:22:56.153 -->  00:22:56.727] GR SPEAKER_02
[ 00:22:56.862 -->  00:22:58.245] GS SPEAKER_02
[ 00:22:58.836 -->  00:23:05.991] GT SPEAKER_02
[ 00:23:06.548 -->  00:23:07.932] GU SPEAKER_02
[ 00:23:08.556 -->  00:23:13.534] GV SPEAKER_02
[ 00:23:13.990 -->  00:23:18.816] GW SPEAKER_02
[ 00:23:19.238 -->  00:23:24.604] GX SPEAKER_02
[ 00:23:25.178 -->  00:23:27.135] GY SPEAKER_02
[ 00:23:27.625 -->  00:23:29.127] GZ SPEAKER_02
[ 00:23:29.650 -->  00:23:30.021] HA SPEAKER_02
[ 00:23:30.477 -->  00:23:33.295] HB SPEAKER_02
[ 00:23:33.565 -->  00:23:34.814] HC SPEAKER_02
[ 00:23:34.965 -->  00:23:35.640] HD SPEAKER_02
[ 00:23:36.501 -->  00:23:37.024] HE SPEAKER_02
[ 00:23:37.227 -->  00:23:44.837] HF SPEAKER_02
[ 00:23:45.158 -->  00:23:47.267] HG SPEAKER_02
[ 00:23:47.537 -->  00:23:50.490] HH SPEAKER_02
[ 00:23:50.541 -->  00:24:00.818] HI SPEAKER_02
[ 00:24:01.560 -->  00:24:20.595] HJ SPEAKER_01
[ 00:24:21.152 -->  00:24:40.255] HK SPEAKER_02
[ 00:24:40.407 -->  00:24:48.929] HL SPEAKER_02
[ 00:24:49.317 -->  00:24:55.257] HM SPEAKER_02
[ 00:24:55.459 -->  00:24:57.180] HN SPEAKER_02
[ 00:24:57.771 -->  00:25:02.226] HO SPEAKER_02
[ 00:25:02.530 -->  00:25:22.037] HP SPEAKER_02
[ 00:25:23.387 -->  00:25:32.483] HQ SPEAKER_02
[ 00:25:33.023 -->  00:25:39.554] HR SPEAKER_02
[ 00:25:40.110 -->  00:25:42.135] HS SPEAKER_02
[ 00:25:43.199 -->  00:25:45.038] HT SPEAKER_02
[ 00:25:45.460 -->  00:25:49.729] HU SPEAKER_02
[ 00:25:50.185 -->  00:25:55.095] HV SPEAKER_02
[ 00:25:55.534 -->  00:25:58.791] HW SPEAKER_02
[ 00:25:59.061 -->  00:26:01.913] HX SPEAKER_02
[ 00:26:02.790 -->  00:26:06.199] HY SPEAKER_02
[ 00:26:06.739 -->  00:26:09.540] HZ SPEAKER_02
[ 00:26:09.810 -->  00:26:12.747] IA SPEAKER_02
[ 00:26:13.439 -->  00:26:33.098] IB SPEAKER_01
[ 00:26:33.452 -->  00:26:42.902] IC SPEAKER_01
[ 00:26:44.995 -->  00:26:50.800] ID SPEAKER_02
[ 00:26:51.323 -->  00:26:51.812] IE SPEAKER_02
[ 00:26:52.082 -->  00:26:56.504] IF SPEAKER_02
[ 00:26:56.639 -->  00:26:57.837] IG SPEAKER_02
[ 00:26:58.832 -->  00:27:02.595] IH SPEAKER_02
[ 00:27:02.899 -->  00:27:39.906] II SPEAKER_02
[ 00:27:40.530 -->  00:27:43.754] IJ SPEAKER_02
[ 00:27:44.091 -->  00:27:44.834] IK SPEAKER_02
[ 00:27:45.188 -->  00:27:46.268] IL SPEAKER_02
[ 00:27:46.470 -->  00:27:47.955] IM SPEAKER_02
[ 00:27:48.546 -->  00:27:50.807] IN SPEAKER_02
[ 00:27:51.381 -->  00:27:58.536] IO SPEAKER_02
[ 00:27:59.279 -->  00:28:00.021] IP SPEAKER_02
[ 00:28:00.190 -->  00:28:09.690] IQ SPEAKER_02
[ 00:28:09.842 -->  00:28:13.234] IR SPEAKER_02
[ 00:28:13.909 -->  00:28:15.057] IS SPEAKER_02
[ 00:28:15.630 -->  00:28:16.980] IT SPEAKER_02
[ 00:28:17.419 -->  00:28:22.026] IU SPEAKER_02
