[ 00:29:45.743 -->  00:29:52.054] IA SPEAKER_01
[ 00:29:52.898 -->  00:30:17.519] IB SPEAKER_01
[ 00:30:18.750 -->  00:30:37.448] IE SPEAKER_01
[ 00:30:37.667 -->  00:30:39.726] IF SPEAKER_01
[ 00:30:39.861 -->  00:30:41.734] IG SPEAKER_01
[ 00:30:42.072 -->  00:30:46.662] IH SPEAKER_01
[ 00:30:47.219 -->  00:30:49.125] II SPEAKER_01
[ 00:30:50.003 -->  00:30:52.399] IJ SPEAKER_01
[ 00:30:52.703 -->  00:30:56.820] IK SPEAKER_01
[ 00:30:57.377 -->  00:31:00.314] IL SPEAKER_01
[ 00:31:00.533 -->  00:31:01.731] IM SPEAKER_01
[ 00:31:01.984 -->  00:31:04.769] IN SPEAKER_01
[ 00:31:05.005 -->  00:31:25.980] IO SPEAKER_01
[ 00:31:26.470 -->  00:31:26.976] IP SPEAKER_01
[ 00:31:26.976 -->  00:31:50.905] IQ SPEAKER_02
[ 00:31:51.445 -->  00:31:59.730] IR SPEAKER_02
[ 00:32:00.338 -->  00:32:08.404] IS SPEAKER_02
[ 00:32:08.573 -->  00:32:26.629] IT SPEAKER_02
[ 00:32:26.984 -->  00:32:43.454] IU SPEAKER_01
[ 00:32:44.483 -->  00:33:07.028] IV SPEAKER_01
[ 00:33:07.382 -->  00:33:09.610] IW SPEAKER_01
[ 00:33:10.082 -->  00:33:19.178] IX SPEAKER_01
[ 00:33:19.684 -->  00:33:23.633] IZ SPEAKER_01
[ 00:33:23.954 -->  00:33:25.658] JA SPEAKER_01
[ 00:33:26.080 -->  00:33:54.194] JB SPEAKER_01
[ 00:33:55.004 -->  00:34:04.352] JC SPEAKER_01
[ 00:34:04.774 -->  00:34:29.260] JD SPEAKER_01
[ 00:34:29.834 -->  00:34:31.977] JE SPEAKER_01
[ 00:34:32.331 -->  00:34:38.153] JF SPEAKER_01
[ 00:34:38.744 -->  00:34:44.987] JG SPEAKER_01
[ 00:34:45.240 -->  00:34:48.210] JH SPEAKER_01
[ 00:34:48.632 -->  00:34:51.872] JI SPEAKER_01
[ 00:34:52.328 -->  00:34:52.750] JJ SPEAKER_01
