[ 00:14:25.785 -->  00:14:29.481] JI SPEAKER_01
[ 00:14:29.920 -->  00:14:36.771] JJ SPEAKER_01
[ 00:14:37.244 -->  00:14:39.859] JK SPEAKER_01
[ 00:14:40.686 -->  00:14:41.479] JL SPEAKER_01
[ 00:14:41.631 -->  00:14:45.141] JM SPEAKER_01
[ 00:14:45.344 -->  00:15:02.252] JN SPEAKER_01
[ 00:15:03.079 -->  00:15:18.267] JO SPEAKER_01
[ 00:15:18.655 -->  00:15:23.076] JP SPEAKER_02
[ 00:15:23.076 -->  00:15:23.110] JQ SPEAKER_01
[ 00:15:23.110 -->  00:15:23.194] JR SPEAKER_02
[ 00:15:23.194 -->  00:15:27.480] JS SPEAKER_01
[ 00:15:27.919 -->  00:15:30.113] JT SPEAKER_01
[ 00:15:31.142 -->  00:15:33.454] JU SPEAKER_01
[ 00:15:33.741 -->  00:15:35.800] JV SPEAKER_01
[ 00:15:36.036 -->  00:15:54.329] JW SPEAKER_01
[ 00:15:54.936 -->  00:15:56.472] JZ SPEAKER_01
[ 00:15:56.674 -->  00:16:00.420] KA SPEAKER_01
[ 00:16:00.977 -->  00:16:08.858] KB SPEAKER_01
[ 00:16:07.491 -->  00:16:08.065] KD SPEAKER_02
[ 00:16:08.858 -->  00:16:09.229] KE SPEAKER_02
[ 00:16:10.124 -->  00:16:13.752] KF SPEAKER_01
[ 00:16:13.887 -->  00:16:18.308] KG SPEAKER_02
[ 00:16:18.679 -->  00:16:21.430] KH SPEAKER_02
[ 00:16:22.105 -->  00:16:26.189] KI SPEAKER_02
[ 00:16:26.712 -->  00:16:29.226] KJ SPEAKER_02
[ 00:16:29.749 -->  00:16:31.065] KK SPEAKER_02
[ 00:16:31.150 -->  00:16:36.010] KL SPEAKER_02
[ 00:16:36.465 -->  00:16:37.191] KM SPEAKER_02
[ 00:16:37.782 -->  00:16:39.402] KO SPEAKER_02
[ 00:16:40.043 -->  00:16:43.604] KQ SPEAKER_02
[ 00:16:44.025 -->  00:16:46.810] KR SPEAKER_02
[ 00:16:47.181 -->  00:16:50.910] KS SPEAKER_02
[ 00:16:51.383 -->  00:16:52.412] KT SPEAKER_02
[ 00:16:52.935 -->  00:16:54.302] KU SPEAKER_02
[ 00:16:54.640 -->  00:16:58.605] KV SPEAKER_02
[ 00:16:59.365 -->  00:17:01.238] KW SPEAKER_02
[ 00:17:01.845 -->  00:17:05.254] KX SPEAKER_02
[ 00:17:05.642 -->  00:17:10.165] KZ SPEAKER_02
[ 00:17:10.705 -->  00:17:11.633] LA SPEAKER_02
[ 00:17:12.004 -->  00:17:12.915] LB SPEAKER_02
[ 00:17:13.118 -->  00:17:15.413] LC SPEAKER_02
[ 00:17:16.206 -->  00:17:18.670] LD SPEAKER_02
[ 00:17:18.974 -->  00:17:23.091] LE SPEAKER_02
[ 00:17:23.294 -->  00:17:26.905] LF SPEAKER_02
[ 00:17:27.462 -->  00:17:29.402] LG SPEAKER_02
[ 00:17:29.807 -->  00:17:31.478] LH SPEAKER_02
[ 00:17:31.950 -->  00:17:36.405] LI SPEAKER_02
[ 00:17:36.557 -->  00:17:39.797] LK SPEAKER_02
[ 00:17:40.304 -->  00:17:47.830] LL SPEAKER_02
[ 00:17:48.150 -->  00:17:51.644] LM SPEAKER_02
[ 00:17:52.099 -->  00:17:52.859] LN SPEAKER_02
[ 00:17:52.386 -->  00:17:52.487] LO SPEAKER_01
[ 00:17:52.504 -->  00:17:54.951] LP SPEAKER_01
[ 00:17:53.955 -->  00:17:54.192] LQ SPEAKER_02
[ 00:17:55.457 -->  00:17:56.689] LR SPEAKER_01
[ 00:17:57.887 -->  00:18:02.477] LS SPEAKER_01
[ 00:18:03.169 -->  00:18:03.861] LT SPEAKER_01
[ 00:18:04.435 -->  00:18:05.599] LU SPEAKER_01
[ 00:18:06.207 -->  00:18:13.497] LV SPEAKER_01
[ 00:18:14.661 -->  00:18:18.711] LZ SPEAKER_01
[ 00:18:19.268 -->  00:18:21.006] MA SPEAKER_01
[ 00:18:22.120 -->  00:18:27.486] MB SPEAKER_01
