[ 00:49:17.104 -->  00:49:18.049] JN SPEAKER_02
[ 00:49:18.387 -->  00:49:19.872] JO SPEAKER_02
[ 00:49:19.973 -->  00:49:23.922] JP SPEAKER_02
[ 00:49:24.327 -->  00:49:26.250] JQ SPEAKER_02
[ 00:49:26.571 -->  00:49:29.052] JR SPEAKER_02
[ 00:49:29.490 -->  00:49:30.419] JS SPEAKER_02
[ 00:49:30.807 -->  00:49:36.443] JT SPEAKER_02
[ 00:49:36.713 -->  00:49:40.172] JU SPEAKER_02
[ 00:49:40.594 -->  00:49:48.053] JV SPEAKER_02
[ 00:49:48.120 -->  00:49:54.887] JW SPEAKER_02
[ 00:49:55.242 -->  00:50:04.034] JX SPEAKER_02
[ 00:50:04.202 -->  00:50:05.232] JY SPEAKER_02
[ 00:50:05.620 -->  00:50:07.341] JZ SPEAKER_02
[ 00:50:07.712 -->  00:50:13.568] KA SPEAKER_02
[ 00:50:13.787 -->  00:50:32.249] KB SPEAKER_02
[ 00:50:32.519 -->  00:51:06.437] KC SPEAKER_02
[ 00:51:06.724 -->  00:51:07.399] KD SPEAKER_02
[ 00:51:07.450 -->  00:51:11.483] KE SPEAKER_02
[ 00:51:11.804 -->  00:51:13.170] KF SPEAKER_02
[ 00:51:13.289 -->  00:51:59.155] KG SPEAKER_02
[ 00:51:59.492 -->  00:52:04.960] KH SPEAKER_02
[ 00:52:05.112 -->  00:53:04.225] KI SPEAKER_02
[ 00:53:04.478 -->  00:53:07.245] KJ SPEAKER_02
[ 00:53:07.701 -->  00:53:12.814] KK SPEAKER_02
[ 00:53:13.118 -->  00:53:15.750] KL SPEAKER_02
[ 00:53:15.852 -->  00:53:18.636] KM SPEAKER_02
[ 00:53:18.906 -->  00:53:20.729] KN SPEAKER_02
[ 00:53:20.965 -->  00:53:41.704] KO SPEAKER_02
[ 00:53:41.789 -->  00:54:13.514] KP SPEAKER_02
[ 00:54:13.547 -->  00:54:19.386] KQ SPEAKER_02
[ 00:54:19.808 -->  00:55:12.137] KR SPEAKER_01
[ 00:55:12.559 -->  00:55:21.722] KS SPEAKER_02
[ 00:55:22.094 -->  00:56:24.835] KT SPEAKER_01
[ 00:56:24.902 -->  00:56:31.517] KU SPEAKER_01
[ 00:56:31.737 -->  00:56:34.842] KV SPEAKER_02
[ 00:56:35.213 -->  00:56:36.917] KW SPEAKER_02
[ 00:56:37.154 -->  00:56:57.117] KX SPEAKER_02
[ 00:56:57.420 -->  00:56:58.905] KY SPEAKER_02
[ 00:56:59.108 -->  00:57:02.905] KZ SPEAKER_02
[ 00:57:03.175 -->  00:57:07.073] LA SPEAKER_02
[ 00:57:07.394 -->  00:57:09.030] LB SPEAKER_02
[ 00:57:09.368 -->  00:57:30.732] LC SPEAKER_02
[ 00:57:31.035 -->  00:57:33.786] LD SPEAKER_02
[ 00:57:33.972 -->  00:57:35.541] LE SPEAKER_02
[ 00:57:35.625 -->  00:57:43.017] LF SPEAKER_02
[ 00:57:43.118 -->  00:57:58.272] LG SPEAKER_02
[ 00:57:58.491 -->  00:58:11.687] LH SPEAKER_01
[ 00:58:11.974 -->  00:58:13.814] LI SPEAKER_01
[ 00:58:14.826 -->  00:58:15.299] LJ SPEAKER_02
[ 00:58:15.450 -->  00:59:15.205] LK SPEAKER_02
[ 00:59:15.458 -->  00:59:17.685] LL SPEAKER_02
[ 00:59:17.939 -->  00:59:20.993] LM SPEAKER_02
[ 00:59:21.280 -->  00:59:42.357] LN SPEAKER_02
[ 00:59:42.559 -->  00:59:46.069] LO SPEAKER_02
[ 00:59:46.356 -->  00:59:47.807] LP SPEAKER_02
[ 00:59:48.229 -->  00:59:49.984] LQ SPEAKER_02
[ 00:59:50.254 -->  00:59:51.655] LR SPEAKER_02
[ 00:59:52.110 -->  00:59:55.080] LS SPEAKER_02
[ 00:59:55.148 -->  01:00:07.045] LT SPEAKER_02
[ 01:00:07.332 -->  01:00:14.250] LU SPEAKER_02
[ 01:00:14.689 -->  01:00:15.854] LV SPEAKER_02
[ 01:00:16.225 -->  01:00:19.549] LW SPEAKER_02
[ 01:00:19.853 -->  01:00:21.895] LX SPEAKER_02
[ 01:00:22.199 -->  01:00:25.742] LY SPEAKER_02
[ 01:00:25.979 -->  01:00:27.953] LZ SPEAKER_02
[ 01:00:28.122 -->  01:00:29.320] MA SPEAKER_02
[ 01:00:29.894 -->  01:00:31.210] MB SPEAKER_02
[ 01:00:31.632 -->  01:00:44.997] MC SPEAKER_01
[ 01:00:45.165 -->  01:00:47.207] MD SPEAKER_01
[ 01:00:47.680 -->  01:01:01.365] ME SPEAKER_02
[ 01:01:01.433 -->  01:01:04.825] MF SPEAKER_02
[ 01:01:05.010 -->  01:01:07.862] MG SPEAKER_02
[ 01:01:08.082 -->  01:01:09.280] MH SPEAKER_02
[ 01:01:09.584 -->  01:01:13.988] MI SPEAKER_01
[ 01:01:14.190 -->  01:01:15.389] MJ SPEAKER_01
[ 01:01:15.389 -->  01:01:15.422] MK SPEAKER_02
[ 01:01:16.823 -->  01:01:30.745] ML SPEAKER_01
[ 01:01:31.285 -->  01:01:39.030] MM SPEAKER_01
[ 01:01:39.149 -->  01:01:48.109] MN SPEAKER_01
