[ 00:30:42.510 -->  00:30:51.471] FT SPEAKER_01
[ 00:30:51.758 -->  00:31:00.820] FU SPEAKER_01
[ 00:31:00.972 -->  00:31:08.515] FV SPEAKER_01
[ 00:31:08.920 -->  00:31:19.922] FW SPEAKER_01
[ 00:31:20.547 -->  00:31:30.317] FX SPEAKER_02
[ 00:31:31.110 -->  00:31:36.966] FY SPEAKER_02
[ 00:31:37.523 -->  00:31:51.411] FZ SPEAKER_02
[ 00:31:51.529 -->  00:32:07.577] GA SPEAKER_02
[ 00:32:07.982 -->  00:32:18.344] GB SPEAKER_02
[ 00:32:19.052 -->  00:32:53.832] GC SPEAKER_01
[ 00:32:54.135 -->  00:32:59.114] GD SPEAKER_01
[ 00:32:59.586 -->  00:33:05.813] GE SPEAKER_01
[ 00:33:06.235 -->  00:33:08.057] GF SPEAKER_01
[ 00:33:08.159 -->  00:33:31.935] GG SPEAKER_01
[ 00:33:32.509 -->  00:34:05.179] GH SPEAKER_02
[ 00:34:05.415 -->  00:34:10.410] GI SPEAKER_02
[ 00:34:10.984 -->  00:34:19.742] GJ SPEAKER_01
[ 00:34:20.603 -->  00:34:29.057] GK SPEAKER_01
[ 00:34:29.513 -->  00:34:41.427] GL SPEAKER_01
[ 00:34:41.764 -->  00:34:51.434] GM SPEAKER_01
[ 00:34:52.244 -->  00:35:07.465] GN SPEAKER_01
[ 00:35:07.836 -->  00:35:13.354] GO SPEAKER_01
[ 00:35:13.844 -->  00:36:16.956] GP SPEAKER_01
[ 00:36:17.715 -->  00:36:21.175] GQ SPEAKER_01
[ 00:36:21.479 -->  00:36:25.157] GR SPEAKER_01
[ 00:36:25.495 -->  00:36:30.220] GS SPEAKER_01
[ 00:36:30.777 -->  00:37:00.460] GT SPEAKER_01
[ 00:37:00.899 -->  00:37:10.045] GU SPEAKER_02
[ 00:37:10.433 -->  00:37:24.777] GV SPEAKER_02
[ 00:37:25.182 -->  00:37:53.835] GW SPEAKER_02
[ 00:37:54.510 -->  00:38:02.931] GX SPEAKER_02
[ 00:38:03.707 -->  00:38:07.808] GY SPEAKER_02
[ 00:38:08.753 -->  00:38:16.904] GZ SPEAKER_02
[ 00:38:17.730 -->  00:38:22.894] HA SPEAKER_02
[ 00:38:23.670 -->  00:39:04.187] HB SPEAKER_01
[ 00:39:04.289 -->  00:39:14.549] HC SPEAKER_01
[ 00:39:14.565 -->  00:39:22.615] HD SPEAKER_01
[ 00:39:22.969 -->  00:39:33.600] HE SPEAKER_01
[ 00:39:34.022 -->  00:39:46.712] HF SPEAKER_01
[ 00:39:47.387 -->  00:39:50.070] HG SPEAKER_01
[ 00:39:50.273 -->  00:40:28.326] HH SPEAKER_01
[ 00:40:28.360 -->  00:40:33.794] HI SPEAKER_01
[ 00:40:34.148 -->  00:40:42.636] HJ SPEAKER_01
[ 00:40:43.092 -->  00:40:46.467] HK SPEAKER_01
[ 00:40:46.922 -->  00:41:05.265] HL SPEAKER_02
[ 00:41:05.670 -->  00:41:07.257] HM SPEAKER_02
[ 00:41:07.729 -->  00:41:25.178] HN SPEAKER_02
[ 00:41:25.904 -->  00:41:33.194] HO SPEAKER_02
[ 00:41:33.902 -->  00:41:53.899] HP SPEAKER_02
[ 00:41:54.135 -->  00:41:57.375] HQ SPEAKER_02
[ 00:41:57.730 -->  00:42:01.544] HR SPEAKER_02
[ 00:42:02.100 -->  00:42:10.521] HS SPEAKER_02
[ 00:42:11.162 -->  00:42:39.647] HT SPEAKER_02
[ 00:42:40.390 -->  00:42:53.097] HU SPEAKER_01
[ 00:42:53.417 -->  00:43:02.361] HV SPEAKER_01
[ 00:43:02.918 -->  00:43:12.486] HW SPEAKER_01
[ 00:43:12.824 -->  00:43:17.903] HX SPEAKER_01
[ 00:43:18.409 -->  00:43:24.315] HY SPEAKER_01
[ 00:43:24.535 -->  00:43:32.432] HZ SPEAKER_01
[ 00:43:32.871 -->  00:43:45.089] IA SPEAKER_01
[ 00:43:45.392 -->  00:43:52.092] IB SPEAKER_01
[ 00:43:52.952 -->  00:43:57.795] IC SPEAKER_01
[ 00:43:58.319 -->  00:44:12.510] ID SPEAKER_02
[ 00:44:13.253 -->  00:44:21.285] IE SPEAKER_02
[ 00:44:21.825 -->  00:44:35.039] IF SPEAKER_02
[ 00:44:35.106 -->  00:45:17.209] IG SPEAKER_02
[ 00:45:17.530 -->  00:45:26.406] IH SPEAKER_02
[ 00:45:27.317 -->  00:45:40.733] II SPEAKER_01
[ 00:45:41.189 -->  00:45:48.867] IJ SPEAKER_01
[ 00:45:49.289 -->  00:46:03.497] IK SPEAKER_01
[ 00:46:03.683 -->  00:46:10.399] IL SPEAKER_01
[ 00:46:10.635 -->  00:46:17.537] IM SPEAKER_01
[ 00:46:18.229 -->  00:46:25.030] IN SPEAKER_01
[ 00:46:25.249 -->  00:46:28.017] IO SPEAKER_01
[ 00:46:28.624 -->  00:46:32.691] IP SPEAKER_01
[ 00:46:33.417 -->  00:46:37.551] IQ SPEAKER_02
[ 00:46:37.990 -->  00:46:42.495] IR SPEAKER_02
[ 00:46:42.985 -->  00:47:00.518] IS SPEAKER_02
[ 00:47:01.463 -->  00:47:07.116] IT SPEAKER_01
[ 00:47:07.319 -->  00:47:12.415] IU SPEAKER_01
[ 00:47:12.837 -->  00:47:16.212] IV SPEAKER_01
[ 00:47:16.549 -->  00:47:28.244] IW SPEAKER_01
[ 00:47:28.362 -->  00:47:35.297] IX SPEAKER_01
[ 00:47:35.399 -->  00:47:43.752] IY SPEAKER_01
[ 00:47:44.207 -->  00:47:55.868] IZ SPEAKER_02
[ 00:47:56.290 -->  00:48:05.284] JA SPEAKER_02
[ 00:48:05.470 -->  00:48:08.001] JB SPEAKER_02
[ 00:48:08.170 -->  00:48:09.503] JC SPEAKER_02
